id,wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,birthdate,birthyear,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,is_group,l_,age,non_en_page_views,coefficient_of_variation,hpi
18934,Q9458,18934,Muhammad,Muhammad,RELIGIOUS FIGURE,0.0,M,,False,193,36,Mecca,21.41666667,39.81666667,21021.0,Saudi Arabia,,570.0,Medina,24.46666667,39.6,36636.0,Saudi Arabia,0632-06-08,632.0,Mecca,,False,27.91839954258405,1450.0,5160422.0,3.1993552162252716,100.0
17414699,Q720,17414699,Genghis_Khan,Genghis Khan,MILITARY PERSONNEL,0.0,M,,False,154,35,Khentii Mountains,48.7833,109.167,7300427.0,Mongolia,,1162.0,Yinchuan,38.472,106.2589,465955.0,China,1227-08-18,1227.0,,,False,25.843621013671626,858.0,3249211.0,2.7536413178189814,97.72366930454572
18079,Q762,18079,Leonardo_da_Vinci,Leonardo da Vinci,INVENTOR,0.0,M,,False,221,35,Republic of Florence,43.78333282,11.25,11525.0,Italy,1452-04-15,1452.0,Clos Lucé,47.4102299,0.9915248,98219.0,France,1519-05-02,1519.0,,,False,17.54540644658973,568.0,5362406.0,4.796629463408169,97.46069111429894
14627,Q935,14627,Isaac_Newton,Isaac Newton,PHYSICIST,0.0,M,,False,215,35,Woolsthorpe Manor,52.80916667,-0.63055556,140503.0,United Kingdom,1643-01-04,1643.0,Kensington,51.5,-0.19,54732.0,United Kingdom,1727-03-31,1726.0,,,False,21.608920113212005,378.0,3431331.0,4.632474321807203,96.83656689384607
17914,Q255,17914,Ludwig_van_Beethoven,Ludwig van Beethoven,COMPOSER,0.0,M,,False,194,35,Bonn,50.73333333,7.1,3295.0,Germany,1770-12-16,1770.0,Vienna,48.2,16.36666667,55866.0,Austria,1827-03-26,1827.0,,Austria,False,19.79643040003021,250.0,5179518.0,3.9266257992864895,96.58396866607794
783,Q8409,783,Alexander_the_Great,Alexander the Great,MILITARY PERSONNEL,0.0,M,,False,188,35,Pella,40.754669,22.52105,5245701.0,Greece,0356-07-20 BC,-356.0,Babylon,32.53638889,44.42083333,20609622.0,Iraq,0323-06-10 BC,-323.0,Macedonia,,False,17.4419043206531,2376.0,4952953.0,4.8070874465132665,96.4275292058099
308,Q868,308,Aristotle,Aristotle,PHILOSOPHER,0.0,M,,False,195,34,Stagira (ancient city),40.59166667,23.79472222,879525.0,Greece,,-384.0,Euboea,38.5,24.0,79682.0,Greece,,-321.0,,,False,17.520826564851355,2404.0,3849945.0,4.709501935236634,96.0575881920088
69880,Q517,69880,Napoleon,Napoleon,POLITICIAN,0.0,M,,False,195,34,Ajaccio,41.9267,8.7369,2640.0,France,1769-08-15,1769.0,"Longwood, Saint Helena",-15.93333333,-5.66666667,2187809.0,"Saint Helena, Ascension and Tristan da Cunha",1821-05-05,1821.0,France,,False,16.881485583054882,251.0,6151095.0,4.564920249607506,95.87985967642038
15924,Q1048,15924,Julius_Caesar,Julius Caesar,POLITICIAN,0.0,M,,False,207,34,Rome,41.88333333,12.5,25458.0,Italy,0100-07-01 BC,-100.0,Theatre of Pompey,41.895,12.474,1657020.0,Italy,0044-03-15 BC,-44.0,Rome,Rome,False,15.709476160003181,2120.0,4346379.0,5.2499763776228505,95.84402947898472
33163,Q254,33163,Wolfgang_Amadeus_Mozart,Wolfgang Amadeus Mozart,COMPOSER,0.0,M,,False,205,34,Salzburg,47.8,13.03333333,40335.0,Austria,1756-01-27,1756.0,Vienna,48.2,16.36666667,55866.0,Austria,1791-12-05,1791.0,Holy Roman Empire,Austria,False,17.926424633882768,264.0,4531779.0,4.469027296277718,95.81115489050852
22954,Q859,22954,Plato,Plato,PHILOSOPHER,0.0,M,,False,194,34,Classical Athens,37.97,23.72,13517898.0,Greece,0427-05-07 BC,-427.0,Classical Athens,37.97,23.72,13517898.0,Greece,,-347.0,Athens,,False,17.37997158909516,2447.0,3393234.0,4.6138499036040725,95.72999937510549
